cylinder,band,commanded_flow_mm3s,actual_flow_mm3s,speed_mm_s,n,mean_g,sd_g,delta_vs_band1_g
1,1,12.0,0.1,0.3,790,-13.896,25.684,0.000
1,2,14.5,0.1,0.5,1067,-35.360,45.278,-21.464
1,3,17.0,0.7,2.2,842,-30.039,39.506,-16.144
1,4,19.5,0.6,2.0,93,-94.630,26.979,-80.735
1,5,22.0,0.9,2.7,98,-90.238,27.847,-76.342
1,6,24.5,1.6,5.0,101,-94.316,29.093,-80.420
1,7,27.0,0.8,2.6,71,-103.570,16.161,-89.675
1,8,29.5,0.6,2.0,69,-99.168,14.382,-85.273
1,9,32.0,0.8,2.5,69,-99.105,11.601,-85.210
2,1,12.0,1.4,4.4,69924,-12.696,55.897,0.000
2,2,14.5,0.7,2.1,1516,17.268,112.913,29.964
2,3,17.0,5.2,16.1,1897,102.694,131.820,115.391
2,4,19.5,3.9,12.1,125,237.182,302.942,249.878
2,5,22.0,3.0,9.1,129,272.596,320.983,285.292
2,6,24.5,3.0,9.1,121,239.047,342.756,251.744
2,7,27.0,3.2,9.8,128,276.722,402.645,289.418
2,8,29.5,1.5,4.7,80,443.890,398.151,456.586
2,9,32.0,7.3,22.5,70,111.795,355.948,124.491
3,1,12.0,0.2,0.6,2603,683.766,1097.782,0.000
3,2,14.5,1.2,3.7,50,-86.019,21.200,-769.785
3,3,17.0,0.5,1.4,34,-103.648,11.339,-787.414
3,4,19.5,0.9,2.6,47,-83.719,22.867,-767.485
3,5,22.0,0.5,1.5,65,-78.325,27.211,-762.091
3,6,24.5,0.8,2.5,67,-80.028,23.871,-763.794
3,7,27.0,0.9,2.6,59,-80.458,24.567,-764.224
3,8,29.5,0.7,2.3,67,-82.831,24.206,-766.596
3,9,32.0,0.6,2.0,65,-82.808,20.867,-766.574
4,1,12.0,1.7,5.2,2114,1246.379,780.596,0.000
4,2,14.5,0.7,2.2,66,-194.125,53.283,-1440.504
4,3,17.0,0.8,2.3,63,-176.695,39.494,-1423.073
4,4,19.5,0.8,2.3,63,-170.292,34.154,-1416.671
4,5,22.0,0.6,1.7,69,-174.627,29.143,-1421.006
4,6,24.5,0.6,2.0,61,-168.600,25.259,-1414.979
4,7,27.0,0.6,1.9,63,-163.854,23.497,-1410.233
4,8,29.5,0.8,2.3,67,-168.452,15.210,-1414.831
4,9,32.0,1.6,4.8,64,-168.748,21.052,-1415.127
5,1,12.0,3.5,10.8,7902,1879.002,690.979,0.000
5,2,14.5,4.0,12.2,2746,2357.364,350.128,478.362
5,3,17.0,4.3,13.3,2259,3056.548,555.469,1177.546
5,4,19.5,4.8,14.6,2041,4598.986,998.893,2719.984
5,5,22.0,5.4,16.7,1822,6656.906,1359.568,4777.904
5,6,24.5,6.0,18.3,1561,9220.035,1945.739,7341.033
5,7,27.0,6.5,20.0,1434,12298.059,2632.948,10419.058
5,8,29.5,6.7,20.4,1282,12671.178,3601.761,10792.177
5,9,32.0,6.7,20.5,1225,12894.329,4665.759,11015.327
6,1,12.0,2.4,7.3,2226,2205.163,1154.305,0.000
6,2,14.5,0.5,1.7,64,-66.650,50.547,-2271.813
6,3,17.0,1.0,3.1,34,-33.641,38.596,-2238.804
6,4,19.5,1.2,3.7,43,-30.541,33.201,-2235.704
6,5,22.0,0.6,2.0,67,-45.241,37.763,-2250.404
6,6,24.5,0.7,2.1,60,-38.448,34.762,-2243.611
6,7,27.0,1.2,3.6,48,-49.577,34.016,-2254.740
6,8,29.5,0.7,2.1,33,-62.081,11.798,-2267.244
6,9,32.0,0.6,1.9,66,-31.035,32.833,-2236.199
7,1,12.0,3.6,11.2,7957,3032.557,982.399,0.000
7,2,14.5,3.6,11.0,2804,2325.252,314.583,-707.305
7,3,17.0,4.2,12.8,2254,2998.694,476.621,-33.863
7,4,19.5,4.9,15.2,2054,4252.989,857.794,1220.432
7,5,22.0,5.5,16.8,1807,6090.172,1149.704,3057.614
7,6,24.5,5.9,18.0,1546,8054.761,1365.148,5022.203
7,7,27.0,6.4,19.5,1421,10771.705,1489.278,7739.148
7,8,29.5,6.7,20.6,1357,12623.735,2826.837,9591.177
7,9,32.0,7.3,22.5,1231,13183.230,3538.869,10150.673
8,1,12.0,2.4,7.4,2243,2255.625,1167.147,0.000
8,2,14.5,0.5,1.6,69,95.308,92.278,-2160.317
8,3,17.0,1.2,3.8,69,96.560,83.296,-2159.066
8,4,19.5,0.5,1.4,59,111.361,77.994,-2144.264
8,5,22.0,0.6,2.0,31,176.194,10.593,-2079.431
8,6,24.5,0.7,2.1,36,181.660,11.147,-2073.966
8,7,27.0,1.2,3.6,52,130.251,63.685,-2125.374
8,8,29.5,0.6,1.7,61,117.988,57.070,-2137.637
8,9,32.0,1.1,3.4,67,120.562,56.143,-2135.063
9,1,12.0,3.5,10.6,8277,3222.259,1024.564,0.000
9,2,14.5,4.0,12.3,2631,2426.962,320.800,-795.298
