preset_name,nozzle_variant,nozzle_diameter,high_flow,indx,filament_type,filament_vendor,filament_max_volumetric_speed,temperature,first_layer_temperature,bed_temperature,first_layer_bed_temperature,chamber_temperature,chamber_minimal_temperature,extrusion_multiplier,filament_abrasive,filament_retract_length,filament_retract_speed,min_fan_speed,max_fan_speed,cooling,fan_always_on,filament_shrinkage_compensation_xy,pressure_advance_m572_s,pa_conditional,pa_note
Buddy3D PLA @COREONE,0.4,0.4,0,0,PLA,Buddy3D,15,225,230,60,60,20,0,1,,,,85,100,1,1,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA @COREONE 0.6,0.6,0.6,0,0,PLA,Buddy3D,15.5,220,230,60,60,20,0,1,,,,85,100,1,1,,0.019,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA @COREONE 0.8,0.8,0.8,0,0,PLA,Buddy3D,19,225,230,60,60,20,0,1,,,,85,100,1,1,,0.013,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA @COREONE HF0.4,HF0.4,0.4,1,0,PLA,Buddy3D,24,230,230,60,60,20,0,1,,,,85,100,1,1,,0.032,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA @COREONE HF0.5,HF0.5,0.5,1,0,PLA,Buddy3D,27,230,230,60,60,20,0,1,,,,85,100,1,1,,0.022,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA @COREONE HF0.6,HF0.6,0.6,1,0,PLA,Buddy3D,30,230,230,60,60,20,0,1,,,,85,100,1,1,,0.019,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA @COREONE HF0.8,HF0.8,0.8,1,0,PLA,Buddy3D,36,230,230,60,60,20,0,1,,,,85,100,1,1,,0.013,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA SILK @COREONE,0.4,0.4,0,0,PLA,Buddy3D,7.5,225,230,60,60,20,0,1,,,,85,100,1,1,,0.03,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA SILK @COREONE 0.6,0.6,0.6,0,0,PLA,Buddy3D,9,215,230,60,60,20,0,1,,,,85,100,1,1,,0.018,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PLA SILK @COREONE 0.8,0.8,0.8,0,0,PLA,Buddy3D,12,225,230,60,60,20,0,1,,,,85,100,1,1,,0.012,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PETG @COREONE,0.4,0.4,0,0,PETG,Buddy3D,12,250,250,85,85,35,0,1,,0.8,,30,60,1,1,,0.058,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PETG @COREONE 0.6,0.6,0.6,0,0,PETG,Buddy3D,17,250,250,85,85,35,0,1,,0.8,,30,60,1,1,,0.038,conditional,S value templated on nozzle_diameter; resolved for this variant
Buddy3D PETG @COREONE 0.8,0.8,0.8,0,0,PETG,Buddy3D,22,250,250,85,85,35,0,1,,0.8,,30,65,1,1,,0.025,conditional,S value templated on nozzle_diameter; resolved for this variant
