name,nozzle_variant,inherits_chain,layer_height,first_layer_height,extrusion_width,external_perimeter_extrusion_width,perimeter_extrusion_width,infill_extrusion_width,solid_infill_extrusion_width,top_infill_extrusion_width,first_layer_extrusion_width,perimeter_speed,external_perimeter_speed,infill_speed,solid_infill_speed,top_solid_infill_speed,first_layer_speed,travel_speed,enable_dynamic_overhang_speeds,overhang_speed_0,overhang_speed_1,overhang_speed_2,overhang_speed_3,default_acceleration,perimeter_acceleration,external_perimeter_acceleration,infill_acceleration,solid_infill_acceleration,top_solid_infill_acceleration,first_layer_acceleration,travel_acceleration,bridge_acceleration,perimeters,perimeter_generator
0.28mm DRAFT @COREONE HF0.4,HF0.4,0.28mm DRAFT @MK4S HF0.4 ; *C1_HF04* ; *C1_SPEED* -> 0.28mm DRAFT @MK4IS HF0.4 ; *MK4S_HF04* -> *MK4IS_common* -> *C1*,0.28,0.2,0.45,0.55,0.55,0.55,0.55,0.45,0.55,200,180,300,200,100,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.20mm SOLUBLE FULL @COREONE 0.4,0.4,0.20mm SOLUBLE FULL @MK4S 0.4 ; *C1_04* -> 0.20mm SOLUBLE FULL @MK4IS 0.4 ; *MK4S_04* -> 0.20mm STRUCTURAL @MK4IS 0.4 ; *soluble_support_MMU3* -> *MK4IS_common* -> *soluble_support* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,70,50,120,60,80,45,350,1,15,25,50,90%,3000,2500,1500,4000,3000,1200,500,7000,1500,2,arachne
0.20mm SOLUBLE INTERFACE @COREONE 0.4,0.4,0.20mm SOLUBLE INTERFACE @MK4S 0.4 ; *C1_04* -> 0.20mm SOLUBLE INTERFACE @MK4IS 0.4 ; *MK4S_04* -> 0.20mm SOLUBLE FULL @MK4IS 0.4 -> 0.20mm STRUCTURAL @MK4IS 0.4 ; *soluble_support_MMU3* -> *MK4IS_common* -> *soluble_support* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,70,50,120,60,80,45,350,1,15,25,50,90%,3000,2500,1500,4000,3000,1200,500,7000,1500,2,arachne
0.25mm SPEED @COREONE HF0.4,HF0.4,0.25mm SPEED @MK4S HF0.4 ; *C1_HF04* ; *C1_SPEED* -> 0.25mm SPEED @MK4IS HF0.4 ; *MK4S_HF04* -> *MK4IS_common* -> *C1*,0.25,0.2,0.45,0.5,0.5,0.5,0.5,0.42,0.5,220,200,300,240,100,45,350,1,15,25,50,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.25mm STRUCTURAL @COREONE HF0.4,HF0.4,0.25mm STRUCTURAL @MK4S HF0.4 ; *C1_HF04* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS HF0.4 ; *MK4S_HF04* -> 0.20mm STRUCTURAL @MK4IS 0.4 -> *MK4IS_common* -> *C1*,0.25,0.2,0.45,0.5,0.5,0.5,0.5,0.42,0.5,70,50,120,140,80,45,350,1,15,25,45,90%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.25mm BALANCED @COREONE HF0.4,HF0.4,0.25mm STRUCTURAL @COREONE HF0.4 ; *C1_HF04* ; *C1_BALANCED* -> 0.25mm STRUCTURAL @MK4S HF0.4 ; *C1_HF04* ; *C1_STR* -> 0.25mm STRUCTURAL @MK4IS HF0.4 ; *MK4S_HF04* -> 0.20mm STRUCTURAL @MK4IS 0.4 -> *MK4IS_common* -> *C1* -> *C1*,0.25,0.2,0.45,0.5,0.5,0.5,0.5,0.42,0.5,150,200,150,150,100,45,350,1,15,25,50,70%,3000,3000,2500,5000,5000,2000,500,7000,1500,2,arachne
0.20mm SPEED @COREONE 0.4,0.4,0.20mm SPEED @MK4S 0.4 ; *C1_04* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS 0.4 ; *MK4S_04* -> *MK4IS_common* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,170,170,200,200,100,45,350,1,15,25,50,80%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.20mm BALANCED @COREONE 0.4,0.4,0.20mm SPEED @COREONE 0.4 -> 0.20mm SPEED @MK4S 0.4 ; *C1_04* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS 0.4 ; *MK4S_04* -> *MK4IS_common* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,150,170,150,150,100,45,350,1,15,25,50,80%,3000,3000,2500,5000,6000,2000,500,7000,1500,2,arachne
0.20mm SPEED @COREONE HF0.4,HF0.4,0.20mm SPEED @MK4S HF0.4 ; *C1_HF04* ; *C1_SPEED* -> 0.20mm SPEED @MK4IS HF0.4 ; *MK4S_HF04* -> *MK4IS_common* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,250,200,300,250,100,45,350,1,15,25,50,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.20mm STRUCTURAL @COREONE 0.4,0.4,0.20mm STRUCTURAL @MK4S 0.4 ; *C1_Shared04* ; *C1_STR* -> 0.20mm STRUCTURAL @MK4IS 0.4 ; *MK4S_Shared04* -> *MK4IS_common* -> *C1*,0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.42,0.5,70,50,120,140,80,45,350,1,15,25,45,90%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
