preset_name,inherits_chain,nozzle_diameter,nozzle_high_flow,retract_length,retract_speed,deretract_speed,retract_before_wipe,wipe,retract_lift,travel_ramping_lift,travel_max_lift,travel_slope,travel_lift_before_obstacle,machine_max_feedrate_x,machine_max_feedrate_y,machine_max_feedrate_z,machine_max_feedrate_e,machine_max_acceleration_extruding,machine_max_acceleration_travel,machine_max_acceleration_x,machine_max_acceleration_y,machine_max_jerk_x,machine_max_jerk_y,default_print_profile,default_filament_profile,printer_model,printer_variant
Prusa CORE One HF0.4 nozzle,,0.4,1,0.7,45,25,80%,0,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm BALANCED @COREONE HF0.4,"""Prusament PLA @COREONE HF0.4""",COREONE,HF0.4
Prusa CORE One 0.25 nozzle,Prusa CORE One HF0.4 nozzle,0.25,0,0.8,45,25,80%,0,0.15,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","8,8","8,8",0.12mm STRUCTURAL @COREONE 0.25,"""Prusament PLA @COREONE HF0.4""",COREONE,0.25
Prusa CORE One 0.3 nozzle,Prusa CORE One HF0.4 nozzle,0.3,0,0.7,45,25,80%,0,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","8,8","8,8",0.16mm STRUCTURAL @COREONE 0.3,"""Prusament PLA @COREONE HF0.4""",COREONE,0.3
Prusa CORE One HF0.5 nozzle,Prusa CORE One HF0.4 nozzle,0.5,1,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONE HF0.5,"""Prusament PLA @COREONE HF0.5""",COREONE,HF0.5
Prusa CORE One HF0.6 nozzle,Prusa CORE One HF0.4 nozzle,0.6,1,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.32mm SPEED @COREONE HF0.6,"""Prusament PLA @COREONE HF0.6""",COREONE,HF0.6
Prusa CORE One HF0.8 nozzle,Prusa CORE One HF0.4 nozzle,0.8,1,0.6,25,15,50%,1,0.25,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.40mm STRUCTURAL @COREONE HF0.8,"""Prusament PLA @COREONE HF0.8""",COREONE,HF0.8
Prusa CORE One 0.4 nozzle,Prusa CORE One HF0.4 nozzle,0.4,0,0.7,45,25,80%,0,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONE 0.4,"""Prusament PLA @COREONE""",COREONE,0.4
Prusa CORE One 0.5 nozzle,Prusa CORE One HF0.5 nozzle -> Prusa CORE One HF0.4 nozzle,0.5,0,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.20mm SPEED @COREONE 0.5,"""Prusament PLA @COREONE""",COREONE,0.5
Prusa CORE One 0.6 nozzle,Prusa CORE One HF0.6 nozzle -> Prusa CORE One HF0.4 nozzle,0.6,0,0.7,45,25,80%,1,0.2,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.25mm SPEED @COREONE 0.6,"""Prusament PLA @COREONE 0.6""",COREONE,0.6
Prusa CORE One 0.8 nozzle,Prusa CORE One HF0.8 nozzle -> Prusa CORE One HF0.4 nozzle,0.8,0,0.6,25,15,50%,1,0.25,1,1.5,1,ABSENT,"350,160","350,160","12,12","100,100","7000,2500","7000,2500","10000,2500","10000,2500","10,8","10,8",0.40mm QUALITY @COREONE 0.8,"""Prusament PLA @COREONE 0.8""",COREONE,0.8
